Gene Pearson Spearman Source
MAP3K7 0.840529326142069 0.798983625070582 Isoform_MR
TAPBP 0.826644261960654 0.722190852625635 Isoform_MR
TCF3 0.910666587600897 0.837380011293055 Isoform_MR
TFRC 0.973227176092371 0.944664031620553 Isoform_MR
THBS1 0.978778065939884 0.933370976849238 Isoform_MR
ICAM5 0.892442949822474 0.753811405985319 Isoform_MR
TLR1 0.805610281743049 0.744776962168266 Isoform_MR
TLR3 0.82051950304663 0.669113495200452 Isoform_MR
TLR5 0.72360582835851 0.762845849802371 Isoform_MR
TPSAB1/B2 0.876287505478385 0.922077922077922 Isoform_MR
TNFRSF4 0.726161908703527 0.620728632490477 Isoform_MR
UBA7 0.872245342593296 0.728966685488424 Isoform_MR
VEGFB 0.846578494556968 0.665725578769057 Isoform_MR
WNT2 0.678965056374166 0.627329192546584 Isoform_MR
WNT5A 0.976880795059896 0.967250141163185 Isoform_MR
ADAM12 0.994047183618285 0.931112365894974 Isoform_MR
