PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
IL6R,4.88498,2.44113,5.98035,1.8596,1.49125,5.98223,0.470856,0.5004,0.172212,0.808579,0.911515,2.69593,2.30643,5.47733,2.62697,4.61419,3.03206,2.39603,1.26061,1.0633,0.89082,1.37172,0.917343,1.3566,1.27319,3.21326,1.10983,2.32692,0.774975,0.846603,0.520213,0.606443,0.853316,0.579594,0.87933,0.562112,0.256468,0.696141,0.853813,1.44572
FCGR1A,3.45115,3.13068,0.807141,4.68993,7.68655,1.17471,2.02128,0.924358,2.55818,4.6436,1.57737,6.97037,7.83949,2.80478,4.59232,5.39692,5.14591,7.0995,5.44141,3.20836,4.23619,3.70558,3.67461,3.79559,2.71658,5.89985,3.09483,4.37195,4.69774,10.4703,3.28488,4.42166,8.23471,2.23633,5.30076,3.08982,3.32368,1.9177,9.75883,3.19329
FCGR3A/B,0.822926,0.701712,0.145233,1.36319,2.62668,1.51044,0.364092,0.19703,0.734465,1.03137,0.425466,2.45143,3.01813,0.911972,2.402,2.09559,0.854818,2.49666,0.763882,0.568646,0.998006,1.54738,0.702726,0.65922,1.29809,2.22727,0.63885,1.30084,1.28151,3.43244,0.757872,0.714388,1.30809,1.12276,1.85759,0.610077,0.232883,0.230012,3.78092,2.46566
IL10,0.214839,0.583706,0.320823,1.09775,1.68103,0.769674,0.443579,0.514381,0.152524,1.22105,0.128685,0.992077,0.252235,0.235147,0.395396,0.197149,0.158565,0.440628,0.681706,0.478572,0.381072,0.618014,0.183459,0.139692,0.199346,1.56244,0.290326,0.695316,0.311601,0.547143,0.450343,1.24336,1.5864,0.861349,0.608278,0.705861,0.191994,0.180146,0.647262,0.868847
IL1A,0.208498,0.0455558,0.488258,0.377247,1.14956,0.192553,0.45809,0.601306,0.176858,0.031766,0.371073,0.38486,5.14271,0.275857,0.24633,0.116682,1.13211,0.337403,0.154848,0.356736,0.449574,0.160582,1.07657,0.272124,0.261246,0.160531,0.645532,0.393575,0.632298,0.2899,0.966264,0.746942,0.44232,0.169567,0.211355,0.100997,0.762951,0.36555,0.632082,0.130313
IL1B,0.741202,1.19388,0.842495,2.40939,3.26802,0.469689,0.926272,0.529276,0.348831,0.457652,0.721292,8.11729,10.0326,0.644474,0.506982,1.93834,1.54519,0.474522,0.856947,3.14759,0.90678,0.891825,1.58415,1.45073,1.53788,2.82901,1.64677,1.93083,1.24999,1.7942,0.919841,1.13875,1.66056,0.393734,2.57519,0.56061,2.06027,2.28692,1.70639,1.76172
IL1RN,0.62441,0.796432,0.357115,1.18358,0.67638,0.704804,0.786388,0.207228,0.0961419,0.953215,0.080688,1.17804,2.93343,3.11752,0.422384,1.84309,0.594699,1.50218,0.262633,0.381387,1.50155,0.678401,0.282227,0.318049,0.544244,1.68861,1.03027,1.43873,0.955193,3.83455,0.850208,1.06113,1.1221,0.493509,0.518406,0.161715,0.497699,0.397435,0.578331,0.370033
SLC11A1,0.211132,2.19708,1.07579,1.77014,2.4041,10.664,1.27886,1.161,0.96336,4.50533,1.34247,8.03034,1.65281,3.57197,0.523791,4.27868,1.23845,5.09853,1.09178,2.93295,0.424838,2.20712,0.817772,1.10894,2.01773,2.91313,1.06635,1.5071,1.05505,4.7415,0.843527,3.52719,1.83184,4.90802,3.75029,1.13288,1.1485,1.51923,6.63582,1.97607
CCR5,1.21698,1.13836,0.308099,1.75089,1.94702,0.792025,0.585731,0.131251,0.28985,0.808477,0.262338,3.26502,1.00802,1.67327,4.95848,3.48069,0.503199,2.8494,1.37936,0.567454,1.6279,1.81348,0.832237,0.705042,2.10583,9.5526,0.561907,2.22072,0.688171,1.51632,0.420271,1.08494,2.38084,0.875199,0.753086,0.40894,0.488263,0.387651,1.97053,2.32339
SPP1,15.611,42.9815,40.051,195.53,34.5576,84.3749,61.9619,16.7365,68.3734,199.642,106.326,131.91,389.857,13.8161,22.13,51.2232,78.9448,148.462,58.5337,227.958,51.0072,30.72,75.9383,68.1606,153.184,278.579,86.2998,42.3097,148.129,320.052,81.6732,85.4582,199.285,78.9957,244.988,72.0914,177.297,65.0409,433.614,44.2987
CXCL8,0.0629328,1.63356,2.41415,3.77468,1.14754,4.08961,0.320203,2.18482,0.104859,1.97883,2.43802,2.68671,22.1732,2.921,0.253708,5.48702,0.514372,0.984224,0.460271,4.87878,0.656783,2.73476,2.20959,0.134451,1.34307,11.0978,1.38528,3.15595,0.599822,6.50663,0.817155,4.14124,1.48026,2.00453,7.45857,1.54167,3.75741,7.24099,7.41345,2.53784
IL15,0.224911,0.149883,0.035911,0.0702463,0.17223,0.175977,0.00866931,0.0122385,0.0973772,0.0456889,0.118603,0.234191,0.266203,0.110584,0.269518,0.186554,0.0674891,0.111464,0.114143,0.0374128,0.150339,0.20828,1.06635,0.308834,0.0795436,0.224578,0.0388738,0.0781025,0.123401,0.151371,0.0585805,0.111909,0.0994041,0.112563,0.0205193,0.10152,0.135709,0.110318,0.0819093,0.113697
IL2,0,0.0172941,0,0,0,0,0,0,0,0,0,0.0561932,0,0.268881,0.293898,0.0158198,0,0,0,0.0376182,0.0512008,0.145145,0.0190978,0,0,0.476107,0,0.0986675,0,0.0702468,0,0.189038,0,0,0.0160471,0,0,0,0,0.04365
C7,0.296759,14.1352,2.46691,1.54143,1.80577,16.8267,0.147069,48.5505,0.0239738,2.38123,0.0111779,129.661,0.530271,16.6331,31.4401,69.5724,0.00726928,50.7468,23.0978,0.00402975,41.2782,155.794,0.206626,116.578,2.49833,84.4098,0.563258,23.3888,0.192849,20.9797,0.0852901,31.7861,43.245,33.7409,0.0825122,15.6782,0.0462095,9.98825,0.0667648,223.984
TAP1,18.7889,8.88465,10.8896,11.8081,44.9034,17.3022,8.09975,3.92683,9.28364,11.3505,2.91304,20.1705,27.441,22.8455,32.2837,29.6796,9.96925,27.2265,11.3306,5.51919,16.4468,14.1223,28.6911,6.443,34.6742,42.7586,5.28591,45.1614,12.2245,11.277,6.95985,8.39386,13.2087,6.80362,8.49814,6.41668,5.18798,3.25484,14.3186,14.899
TNF,2.24327,0.703503,1.87283,3.94519,10.8991,6.12037,8.48407,1.3212,1.29655,2.70742,2.853,4.12206,4.93619,7.54034,2.1648,1.58245,1.15396,0.704685,0.339744,0.815304,5.87277,5.33324,1.40729,0.401861,3.44551,6.01978,0.658448,0.563982,3.78064,3.67735,0.606804,0.462232,2.76832,0.825524,1.25205,0.499745,1.62326,1.20085,3.07565,1.40692
IL6,0.204311,12.6364,0.136701,1.47533,2.044,5.68854,1.03129,4.00656,0.189124,6.57644,0.246904,5.83518,1.38866,4.48511,0.852562,15.9398,0.532168,6.71961,2.09833,9.65393,0.489216,12.9447,0.495786,0.581995,1.79082,10.1248,0.540448,19.2947,0.461207,35.8141,0.445993,6.6967,11.579,6.17294,4.11381,5.32549,1.09986,8.05932,1.24721,10.1985
NCAM1,22.5127,7.44183,4.78164,8.39986,1.86562,7.9204,3.03685,8.54399,6.19833,14.5851,9.08369,7.02838,1.29045,1.62372,0.298106,1.25919,1.15161,0.872103,1.6991,1.09889,2.63445,2.6077,2.45046,8.04151,3.94474,1.15947,0.312492,2.46801,2.83164,1.58093,8.32893,8.23195,2.76807,2.77546,9.47531,21.8458,3.91972,1.33383,4.49408,3.0129
CD4,1.88176,2.70938,1.84129,4.47956,6.29661,5.81368,1.37847,1.08405,0.810587,3.96308,1.29397,6.48534,3.47053,6.28631,7.11188,9.33094,1.5247,7.52892,2.76187,1.05768,4.75247,5.28916,2.48079,2.02937,4.00649,13.9264,1.97763,4.28151,2.08237,4.965,3.3132,3.98435,5.11973,2.26768,3.26271,2.37512,1.16519,1.68759,4.31586,4.71615
IFNG,0.332444,0.191763,0,0.141785,0.513945,0.0750494,0.140957,0.0198989,0.0387743,0.241432,0.0120525,0.709631,0.769471,0.627673,1.87631,0.950168,0,0.325478,0.126743,0.0173802,0.220785,1.15342,0.167646,0.049717,1.0051,5.20885,0.0109924,1.41967,0.116737,0.378643,0.0656881,0.40758,0.430998,0.160142,0.029656,0.144934,0,0.137389,0.0719885,0.712565
NOS2,0.0506808,0.119594,0.0503508,0.0567665,0.0803594,0.176819,0.0468845,0.0496403,0.00358249,0.0205908,0.0334071,0.0719618,0.0414715,0.03987,0.102646,0.121554,0.0173804,0.106619,0.0250933,0.0818965,0.0131137,0.0446099,0.190764,0.413417,0.233526,0.199984,0.0517967,0.0361014,0.0606697,0.0599727,0.0655467,0.0403475,0.101544,0.0760941,0.0698705,0.0312455,0.0710254,0.0803941,0.183575,0.160243
LTBP1,6.11172,20.0079,3.02371,6.59211,1.93293,8.70135,18.2523,4.95529,6.28163,28.3547,9.83035,15.2437,9.3631,12.1052,6.2049,16.0328,3.09506,16.0313,7.32873,5.98367,6.73416,9.36529,31.3272,23.4274,10.5648,10.7742,20.5491,10.9645,2.54677,6.98377,23.9121,20.1516,4.66676,8.89804,9.22762,13.6098,13.9267,15.9052,11.8808,10.7775
IFNAR1,6.13629,4.96532,2.43039,4.19331,8.5187,5.96849,4.93311,7.52109,9.11036,8.3501,3.01289,5.23773,9.1285,4.96317,8.223,5.22913,5.57268,7.24821,11.5673,7.24527,7.24048,8.59897,5.45678,6.89159,6.71332,10.725,4.89394,5.94314,6.15238,7.33993,6.50124,6.80615,6.17615,5.25578,4.94403,8.51337,4.6463,5.09525,7.67988,7.27327
ITGAM,1.27402,2.26251,0.718247,2.3512,2.53071,2.29689,1.24843,0.809185,0.624645,2.70058,1.13675,5.68221,3.86351,2.9845,4.26281,5.92569,1.16813,4.7436,1.45329,1.90566,3.28371,3.33515,2.11338,2.42184,2.53326,6.54902,1.57036,2.15738,2.10325,5.02805,1.10484,2.87599,3.39517,1.63169,3.25481,1.16914,1.39419,1.59254,4.6072,3.32613
BCL2,0.586861,4.27506,1.04709,1.31672,0.849139,1.01198,2.0835,3.81179,0.752994,2.49277,0.359771,4.45212,0.787635,2.86563,2.64414,2.93109,1.46835,1.99186,0.89458,0.611832,1.32135,2.62021,1.04264,3.19229,1.57163,4.98484,0.867838,1.93857,0.866656,2.00775,1.14403,2.22352,2.37567,1.241,0.766194,0.987929,4.22304,4.50965,0.992934,4.52808
FASLG,0.925622,0.439577,0.191516,1.05695,0.990232,0.314698,0.633618,0.0801029,0.303499,0.872202,0.0808618,0.952202,0.645311,0.51762,2.12015,0.863052,0.189311,0.655103,0.583088,0.058303,0.909927,0.431912,0.86429,0.293532,1.20983,3.84888,0.154874,1.30201,0.704885,0.776626,0.255612,0.253919,1.09882,0.138139,0.308398,0.475387,0.458445,0.204836,0.5023,1.18164
IL11,0.0450997,0.0939423,0.140819,0.149603,0.0178775,0.0593908,0.305957,0.314943,0.046757,0.0755837,0.381512,0.0860944,0.0869893,1.80945,0.0725667,0.495772,0.198485,0.301054,0.106439,0.416547,0.128365,0.0970378,0.11172,0.0359715,0.233938,0.00795763,0.0695909,0.176692,0.0593874,0.220144,0.154463,0.210639,0.214388,0.155179,0.207863,0.0801039,0.617994,0.151867,0.37762,0.231029
SELL,0.884489,1.38887,1.30031,1.83025,2.29066,2.62904,0.487532,0.617661,0.131817,1.03764,0.796315,3.20042,3.75325,12.0145,11.8178,9.30168,0.528291,7.02604,1.23643,0.192671,3.48251,5.54276,0.496896,0.194004,1.50092,21.451,0.521551,7.16731,0.336468,1.5159,1.11851,1.7815,4.83524,2.3941,0.572037,0.685522,0.189375,0.737832,1.09811,11.1007
TGFB1,14.9821,18.0671,6.87142,15.0361,13.7605,13.5148,11.9563,10.2032,21.7522,21.0387,6.04016,20.617,17.8183,30.9035,20.1286,28.3577,15.7592,19.3491,14.1459,17.8623,17.759,16.6781,12.3253,13.8302,17.9714,29.07,11.0918,19.314,12.2027,16.6899,12.8044,14.7316,18.2388,12.4833,17.5574,15.5266,17.1862,14.3016,20.801,19.6453
ADORA2A,0.557284,0.600423,0.375013,0.487193,0.586547,0.547695,0.358508,0.333571,0.171835,0.413307,0.296091,1.08552,0.494208,1.18295,2.39394,2.00261,0.25372,0.744009,0.272119,0.457115,0.519608,0.438022,0.466682,0.422457,0.927019,2.54302,0.400306,0.9825,0.299438,0.687882,0.288576,0.521683,0.791004,0.528966,0.539987,0.302532,0.279781,0.220602,0.495188,0.761614
CD3D,0.93172,1.12488,0.101484,1.47859,1.32273,1.00277,0.385863,0.36315,0.387507,1.47676,0.188532,3.2038,1.64388,6.40927,8.89844,3.65862,0.449561,3.64493,1.48694,0.317184,2.77526,3.42667,1.01216,0.22035,2.15797,13.2818,0.257924,3.76915,0.494562,1.49484,0.0856278,1.0626,1.54503,0.894658,0.61853,0.650755,0.37114,0.696474,1.14486,5.43299
CD3E,0.750255,0.95944,0.187849,1.7307,1.27939,1.27827,0.450155,0.194882,0.198125,0.608916,0.354112,2.83742,2.43915,8.29089,6.99079,4.13927,0.41385,3.52778,1.41088,0.207218,2.61891,4.12325,1.19476,0.440335,1.80632,12.0265,0.187226,3.49395,0.509503,1.52016,0.760799,1.37601,1.78017,1.17871,0.612447,0.665141,0.133357,0.760517,1.06674,5.51874
CSF1,2.13669,3.60959,3.87576,3.98458,4.74372,8.45864,2.18343,1.22374,0.845644,2.35294,13.5339,19.9157,7.24934,8.40155,4.34934,11.663,6.13703,8.02085,4.31163,4.52853,2.93141,5.15344,6.92765,6.45522,4.08704,6.25321,5.4538,5.63999,7.59741,4.73468,2.43899,2.99518,3.98578,2.63929,2.90708,1.49297,4.42341,3.63517,4.9098,6.88806
CSF2,0,0,0,0,0,0,0,0,0.0397256,0,0.0370446,0,0.0985437,0.221056,0.0569114,0.224649,0.0321213,0,0,0.10684,0,0.0618339,0.0677997,0,0,0.135219,0,0,0.0448504,0.0166257,0,0,0,0,0,0,0,0,0,0
CSF3,0.0906734,0.156909,0.0849354,0.0515619,0.0143772,0.0716435,0.0692022,0.0434191,0.0141008,0.0303924,0.0131491,0.840291,0.349786,0.534988,0,0.988781,0.0114016,0.0968437,0,0,0.0516159,0.321908,0.0770107,0.0379686,0.0161258,0,0.0539665,0.184725,0.0318398,0.0944219,0.028666,0.127047,0.0705322,0.137275,0.161772,0.0175691,0,0.14989,0.0471233,0.242021
CSF3R,1.58094,2.93186,1.64419,4.51994,3.50829,8.16497,0.834356,0.591791,0.748335,2.70557,0.943715,5.49303,1.73196,1.80356,2.47047,4.33056,0.600584,2.94811,0.629519,0.871461,1.28467,2.03286,0.614822,0.851431,1.64152,4.08058,4.58149,2.47191,1.1845,2.78061,0.654959,2.13316,2.5295,1.92608,7.79281,5.23576,0.527676,1.42119,3.12554,3.98682
ICAM2,1.09244,1.01445,0.23257,0.817709,0.482253,0.65158,1.04219,0.876817,0.390935,0.679634,1.50771,1.55762,0.534763,1.68953,2.97776,3.06776,0.659523,1.59107,0.588223,0.519208,1.0659,1.31216,1.27511,0.55696,1.26947,3.58133,0.701914,1.57095,0.359633,0.787759,2.29593,2.43517,1.59334,0.478402,2.05425,1.14256,0.0744225,0.153911,0.946244,2.06342
IGF2R,7.35099,9.80891,8.15461,11.1358,10.1773,8.74059,7.88487,11.3769,8.45358,11.3542,6.05892,10.3162,10.4781,10.1778,11.4535,14.6903,7.35105,15.1066,8.52828,6.82156,9.10636,9.94455,9.6103,12.1272,15.7337,18.3378,17.662,42.4244,5.69756,11.7904,8.75418,11.9146,9.09143,7.12373,8.92351,6.95777,5.77579,7.35809,12.881,11.3084
IL2RB,0.949628,0.933893,0.0952099,1.01562,0.973889,1.11615,0.229027,0.0677925,0.172743,1.0464,0.0947558,1.31539,0.408903,2.3063,3.71373,4.16797,0.30948,1.86489,0.664296,0.150306,1.19439,0.604539,1.27871,0.750475,2.50617,5.73231,0.267906,1.76466,1.28871,1.18791,0.137716,0.717168,1.05607,0.41368,0.726662,0.354499,0.16415,0.412054,0.705575,1.34592
ITGA4,1.35469,1.36958,0.224177,1.69757,1.49041,1.31798,0.631268,0.413916,0.481868,1.63601,0.276732,4.41668,2.99803,4.68797,4.93333,3.82327,0.717487,2.18612,1.67114,0.948259,2.2156,3.76392,1.26269,0.88497,2.24123,9.86317,1.08078,3.06453,1.03665,2.20851,0.616734,2.15095,2.38091,1.47442,2.20119,1.4003,0.98058,0.838083,1.66599,5.00638
ITGAX,2.60938,7.62977,2.26566,7.60797,4.6563,11.3542,2.31652,1.5704,2.65511,11.3692,1.30192,9.23855,4.83361,18.6742,5.34004,22.7573,1.65488,16.1761,1.94035,3.5436,3.62304,8.36652,2.85483,2.34735,7.54799,24.8954,2.39175,9.49171,4.83369,12.551,1.65529,8.83634,4.17609,5.71402,4.13507,4.28959,3.33871,7.23881,9.41533,10.2191
P4HA1,8.18717,8.09623,9.90638,8.3516,6.38759,5.53155,10.4362,7.86893,11.3961,9.40188,93.4389,9.4466,35.0227,8.40677,14.4799,8.36756,13.8261,13.8961,14.1144,26.8928,16.412,15.6273,23.6022,13.6649,23.27,10.8723,12.4983,11.224,7.09585,11.2754,15.9354,8.76547,10.5721,14.027,24.1919,17.1625,24.4908,11.9059,24.4256,9.55936
PC,1.60653,1.33926,4.72139,2.57053,3.23079,3.97583,2.31853,1.95599,2.15998,1.88668,1.58557,1.48473,1.80538,1.89253,3.11576,3.61268,3.43453,2.62591,2.36705,4.22093,1.07239,1.03125,1.43826,1.4309,3.01287,1.17346,3.24151,1.86141,2.41701,2.0324,2.68658,2.5501,1.92666,0.711919,2.34133,1.62801,1.65949,1.24667,1.95336,3.06149
POLR2A,24.9119,34.6207,20.0405,25.9259,30.4561,23.4147,27.7653,32.4388,16.3057,20.7999,45.1405,40.0662,18.7679,26.298,39.9116,40.7949,36.1543,40.9443,21.0657,28.829,28.0697,25.837,57.6772,55.5608,32.4035,35.4895,30.817,33.3105,16.6728,32.9149,51.922,43.3617,25.694,36.2265,31.0777,30.3484,20.6048,27.6046,37.2857,41.8231
PRLR,0.174891,0.813901,0.070072,0.368181,0.277307,0.151987,0.129934,0.453938,0.377879,0.242092,0.0201999,0.672024,0.0218919,0.0438324,0.14712,0.216414,0.717156,0.724578,0.195562,0.155355,0.305425,0.274733,0.0180744,0.779557,0.385352,0.40799,0.334687,0.174632,0.179347,0.300177,0.114986,0.317155,0.333084,0.172541,0.356207,0.217418,0.201476,0.0980749,0.272138,0.143962
PTGER4,5.12893,11.1832,2.05724,8.75302,10.0237,7.36644,5.26449,2.71302,3.27259,14.2976,4.92147,17.8255,5.6092,13.807,11.3592,14.5555,3.20323,9.26136,7.32534,2.57154,7.43115,16.3105,3.02105,2.43955,6.94973,34.6356,3.2115,9.98255,2.87205,13.053,2.45109,12.435,20.206,7.52808,5.81161,6.96095,4.60173,5.59704,5.89387,13.5847
PTGS2,0.481731,5.13483,0.268599,2.68866,1.35489,3.49126,1.95177,1.87655,0.127831,1.63178,1.09779,7.73512,4.76878,2.05728,0.281087,5.78983,0.425466,2.45687,2.30718,2.78633,0.406261,3.12186,1.23798,1.10237,2.71299,10.4751,0.748391,6.84232,0.204736,3.14524,1.00021,5.59805,8.49079,2.08903,2.60909,4.35963,3.17612,2.44028,2.7685,7.17435
RPL7A,129.043,117.315,465.774,172.545,230.345,239.689,264.186,278.253,261.417,310.524,284.352,271.91,125.511,254.595,209.569,217.95,120.943,141.367,196.349,273.616,345.784,303.033,241.396,366.781,177.892,177.769,211.673,271.709,232.882,196.1,177.196,167.031,180.509,342.532,114.937,126.569,275.554,325.957,347.552,180.682
RPL23,65.7575,49.7813,71.6866,51.0726,87.1037,77.2483,76.2724,121.831,111.644,112.718,171.82,117.625,85.4418,74.7937,64.4884,55.6133,38.3511,51.2634,74.5985,49.8793,81.6698,91.3001,98.3041,152.053,51.9437,78.5982,80.3213,98.365,59.8781,71.1316,29.8686,50.8565,102.947,193.383,47.1557,73.7562,95.776,95.7255,88.9969,90.1834
CD44,6.71855,7.93893,1.47958,6.51632,12.5497,6.80001,4.4398,4.71402,1.69755,11.207,1.53776,8.19001,12.7894,34.5855,11.5343,22.7349,1.22333,10.7006,4.25424,3.51351,6.69686,13.1489,6.43741,4.33801,7.10151,29.531,4.2687,7.28565,3.49747,10.9442,3.68638,8.93374,10.7763,8.06712,5.83898,4.15999,4.72172,6.85202,8.31172,16.4133
CCL3/L1,0.315166,1.11976,0.192536,1.83117,0.727862,0.587751,1.04581,0.459315,0.522085,3.55191,0.288136,8.93193,3.03068,3.25553,0.295108,0.650734,0.318764,0.573217,1.20902,0.329537,0.988046,2.95203,0.603726,2.45912,0,0,3.53409,3.5969,0.577407,3.21952,0.0216605,1.15199,0.497422,0.471487,1.01457,0.424815,0.281652,0.57888,0.237381,0.399
RORC,0.302932,0.329865,5.19746,2.00681,1.21062,3.19255,1.84539,1.14345,2.11512,1.78555,0.347406,0.711329,0.552502,1.15509,0.144621,0.198445,3.64204,2.90806,1.00676,0.588241,0.783037,0.2968,0.352783,0.183063,0.140184,0.320705,0.962812,1.60585,1.4952,0.557277,0.681633,0.308595,0.196368,0.204211,0.592858,0.871465,0.534762,1.1185,0.439103,0.382534
CD36,0.155412,0.165418,0.0779875,0.285818,1.30251,1.1465,0.324767,0.334443,0.0632981,0.847522,0.202567,0.483546,0.865977,0.371148,10.1412,3.50468,0.0407126,2.47169,1.1326,0.321128,1.4692,4.35152,0.631489,0.249019,0.282971,0.425035,0.368275,0.216005,0.045477,1.21738,0.522035,2.45299,11.7724,0.82248,1.02987,0.901593,0.0728874,0.502939,1.12819,15.0723
FCGR2B,2.72691,5.6971,1.134,6.5142,9.98645,11.1813,1.32432,1.01086,3.37701,10.9797,2.80675,15.3537,5.58469,7.15474,11.3683,12.6533,1.77345,5.45214,3.54068,7.77845,3.86782,6.24174,2.49338,2.7827,8.82734,20.3717,2.42177,3.65445,7.63328,13.8358,1.85864,6.14364,9.02071,4.3071,12.9593,6.44484,4.4427,2.87122,15.9047,10.0587
SREBF1,4.18884,6.80818,8.84861,7.07047,5.63819,8.72913,4.8106,3.88923,5.92355,9.74675,7.59405,5.36139,3.79075,6.85094,6.38532,8.38382,11.8709,16.2829,3.77366,7.62739,3.49613,2.64762,4.95007,4.36972,10.7442,4.63099,4.94176,4.85359,6.23659,6.76261,8.52741,7.26627,4.27365,2.85326,7.62321,6.85594,3.19456,5.37096,4.57495,4.49514
CXCR4,35.3986,32.561,8.9163,24.6623,10.9859,58.8259,43.5573,24.5852,9.66983,27.7691,8.05249,83.1711,85.4735,124.314,57.6171,105.434,17.4074,53.8933,18.2688,9.36912,13.937,86.2403,6.84162,12.009,40.3626,307.46,17.6871,61.2327,13.7936,46.4839,26.0034,54.0883,41.5978,27.7295,33.5073,34.1016,22.464,19.2594,43.8634,77.022
MXI1,4.80831,4.59314,7.75677,4.45377,3.69045,7.59297,7.74458,7.97543,5.84263,4.9344,4.88742,5.74122,5.64833,3.19555,2.97608,3.26357,4.05363,3.30296,6.18041,11.0493,2.79016,3.12901,6.40173,9.06321,2.87266,3.17836,4.95106,8.20009,4.7057,3.07177,5.11737,5.37161,3.83037,5.77355,2.4836,3.22882,11.0552,12.1302,6.56455,5.31689
MAGEA4,34.2025,9.7106,0.102,0.0495369,0,0,0,0,0.0101603,0.00729969,1.19379,5.17028,0.0336049,0,0.824825,0.942288,0.0041077,0,0,0.0136627,0.0247944,0.0105431,0.638131,0.0234498,2.70731,2.48312,2.83431,1.10578,3.99191,2.44927,6.13459,3.71895,1.82111,4.16333,30.8312,30.1861,0,0.144003,0.0226363,0.158534
HDAC5,2.51553,4.33886,5.30093,3.75899,1.92727,5.05545,3.95488,3.46059,3.4209,3.6549,2.88539,5.01027,0.920793,2.67739,3.84413,5.84192,2.70792,2.74456,2.94445,5.11127,2.28633,2.0041,2.62712,4.6345,3.25191,2.81697,3.22047,3.80342,3.05497,3.51344,4.0787,3.02205,2.38428,2.51662,3.5805,2.6521,2.44403,3.43617,2.6229,2.64589
PCK2,1.39835,1.21961,4.71129,2.7599,2.9182,2.52217,3.08064,1.30009,1.67018,2.44285,1.18813,2.10651,3.64565,2.0905,7.53682,5.92051,3.29311,3.84069,1.7692,2.04495,2.5941,1.62068,2.85433,1.47752,2.71763,4.15629,2.06238,2.7863,3.12587,3.13061,3.07255,2.44071,2.69753,1.84521,2.37051,3.24019,1.77786,1.60195,2.43075,3.05884
FANCA,7.07303,4.51006,9.20575,5.03597,8.66285,5.03853,4.50591,2.96023,8.66995,5.64569,5.59626,5.77823,4.88385,5.02265,9.08194,6.7693,11.6705,5.4764,5.19561,7.74361,5.88472,3.62836,6.11635,4.3659,4.70287,5.71068,4.02524,10.0977,4.64101,3.20932,4.85166,4.55181,7.01207,2.84558,7.42356,3.43522,7.10755,3.84311,5.90619,5.37976
PUM1,30.5575,23.2862,26.2477,23.7631,48.1025,48.5138,45.7594,34.5942,35.0696,29.8037,59.1207,35.7628,22.0451,23.6566,38.0864,33.5465,63.2064,36.8144,40.0016,57.7381,39.3063,30.8399,36.1322,34.0347,35.5667,28.1018,57.5857,43.9115,22.8728,22.5256,33.8473,26.0277,25.3244,21.3276,24.3572,23.4986,29.3339,33.9797,31.9429,28.5644
CD276,5.04523,6.42481,5.93324,9.6712,4.67814,7.05427,5.86952,2.85725,4.9708,7.9508,3.72211,3.88461,3.13518,8.05937,4.16394,15.5905,5.47603,11.7425,3.87974,7.60194,6.89433,3.99969,5.14185,5.04327,11.3595,4.12449,5.09693,5.91548,6.06012,9.32272,4.53318,4.55327,5.25556,4.84653,10.0069,5.24005,5.39008,4.67724,9.13446,4.93017
TGFBR2,8.93503,15.9252,10.2215,18.5263,13.2107,26.5129,6.94915,6.45984,10.9869,15.4382,5.00791,22.2433,12.9476,28.0187,24.9241,33.2672,7.3691,23.7091,30.6664,17.5574,17.3765,33.0773,7.15529,9.61986,16.5335,22.8237,7.52465,10.6727,8.66649,21.8908,9.13519,21.3228,27.3341,12.639,20.5716,20.9444,14.7547,11.8488,14.3814,28.5133
CD74,64.3428,71.7243,182.067,105.507,99.6414,122.11,24.8442,16.1474,18.8707,80.4289,19.0322,195.183,54.8224,157.333,173.08,227.916,92.2948,218.089,103.596,35.1069,63.5225,88.5683,61.8112,46.0473,176.401,359.421,28.1078,94.7781,66.2776,132.753,26.0812,78.1304,88.8059,101.609,36.5971,36.788,19.8795,45.1331,80.6817,99.1499
RUNX3,0.979104,1.36487,3.34202,4.15471,0.82563,1.87878,0.366079,0.175817,3.83425,4.86802,1.07781,2.3912,0.784021,3.86526,2.25735,4.85709,5.42552,6.22686,2.90382,8.26912,1.14005,1.64823,1.4647,0.556415,3.53401,5.30054,0.991833,2.02956,4.09837,8.39416,0.358785,0.95096,1.07319,0.875913,0.694765,0.383738,0.381151,0.384197,2.31678,3.11374
IFIT3,48.7726,16.4077,16.2271,20.7774,44.215,23.7243,20.8243,16.1759,31.2853,31.0893,5.39063,28.3461,25.7617,4.14461,17.7476,14.9253,37.5085,80.9578,52.6254,4.43016,21.5519,14.0202,16.5312,18.6246,9.75058,24.4605,18.8421,55.2013,17.3994,13.3851,5.02938,17.8154,39.6442,23.0744,6.10118,9.39339,6.25159,5.88767,25.6071,19.2528
