PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
IFNGR1,3.87602,6.75582,3.9894,6.7416,8.20578,13.9988,3.68797,6.27259,3.46281,7.76902,3.6166,16.5148,15.1498,11.9069,8.84516,10.4367,5.27551,17.7739,10.3644,4.44455,8.61357,18.1152,6.53765,9.90656,5.18908,20.166,8.26653,17.1781,3.23008,8.34756,7.90385,11.006,8.32202,9.93375,7.37557,10.3846,6.75479,11.463,10.4975,13.7972
IL2RA,0.284516,0.390754,0.222092,0.394848,2.50134,0.636561,0.112018,0.304109,0.359496,0.840124,0.0699938,0.550188,0.666376,1.0272,1.50166,1.65764,0.415259,1.24354,1.00723,0.223117,0.718219,1.01664,0.318238,0.088138,0.844832,2.94754,0.184792,0.863876,0.33451,0.499307,0.329276,0.800861,1.33053,1.66423,0.711561,0.329786,0.121834,0.209967,0.567692,1.56979
PECAM1,2.0725,3.28493,0.552118,2.87118,3.51705,3.21695,0.802665,0.740891,1.17677,3.86122,0.0490227,4.93066,3.73834,6.07364,9.02794,5.35805,1.05124,4.9043,2.35099,1.00057,3.90297,6.04894,1.81515,0.847772,3.36672,10.2162,1.36196,4.00175,0.90855,4.20905,0.990628,5.3742,9.94858,2.66273,2.89729,2.98281,1.38076,1.70034,2.82673,8.74962
SELE,0.623286,0.434642,0.0137052,0.636485,0.734251,0.247724,0.547159,0.19442,0.0853243,0.318769,0.0095479,3.4324,1.07804,1.78522,0.413975,2.34693,0.0275966,0.300815,0.124311,0.0780213,0.245699,1.00227,0.170088,0.31771,0.768909,1.33365,0.0551512,1.14185,0.0154131,0.468506,0.0485685,0.868707,0.466626,0.362467,0.24668,0.395476,0,0.548223,0.0456231,0.852059
TWIST1,1.52206,4.1185,0.0629466,4.60469,0.942975,5.34751,1.64972,0.748148,1.39511,7.2753,0.102322,0.524789,0.479576,1.68903,1.13781,4.39678,1.01399,2.48511,1.26267,2.29761,0.975455,1.11423,0.807947,1.18787,1.64924,2.13425,0.8399,0.355419,0.159279,2.23708,1.23485,3.84864,2.2085,2.24744,3.81254,2.32418,2.00278,1.49965,1.40568,1.57352
C1QB,46.3977,63.1019,9.94176,57.8731,261.917,73.1282,37.6635,13.7124,42.8853,110.748,5.67388,174.972,82.7356,70.7192,199.383,127.239,52.8287,209.397,47.3801,30.1886,52.4808,62.4849,26.2762,47.4476,69.055,256.212,49.464,171.428,44.0829,111.06,37.4389,61.6974,195.762,57.8231,87.4487,37.7747,24.4033,29.774,122.645,75.067
COL17A1,4.18201,0.786025,0.137873,0.461693,0.117443,0.122192,0.222251,2.81014,0.0753134,0.184608,1.42114,0.424185,0.18316,0.145672,0.171362,0.300635,0.125376,0.0836726,0.127227,0.202551,0.229737,0.181587,0.278245,0.112473,0.0937284,0.111589,0.178972,0.0691981,0.35012,0.179847,0.164365,0.154674,0.107106,0.192121,0.121982,0.0717582,0.297652,0.253776,0.14065,0.334108
COL4A5,8.43861,7.47662,3.56771,2.83958,2.62951,5.56875,8.04938,13.4654,1.5553,1.54295,9.01689,10.8289,0.102533,0.242907,1.13391,2.61544,3.37808,3.75385,1.95703,0.665215,3.76002,4.96628,5.65466,11.9359,5.07344,2.03496,5.99449,3.84181,3.93485,5.30777,6.61595,8.38232,4.35938,6.72476,3.59891,6.65505,9.97025,11.0451,8.5231,4.48854
PMS2,3.83788,3.42257,3.06645,2.79846,2.80448,2.50148,4.36677,5.12041,6.16179,7.0817,4.94717,3.97942,5.21338,2.26187,4.46231,2.74442,3.03853,2.88394,6.6508,5.74573,6.53454,4.68666,9.49512,7.06912,7.76195,5.7902,4.61457,4.4197,3.36349,2.48943,6.54157,5.16585,3.56419,4.43736,3.35157,4.35665,5.39511,6.19477,4.51071,3.82801
REN,0.0115091,0.343005,0.305456,9.09719,0.0729955,0.207856,0.107358,0.523562,0.0715924,0.102872,0.0834509,1.40213,0.221991,0.30784,0.128205,0.1417,0.180901,0.122923,0.125366,0.012034,0.174709,0.0928628,0.103859,0.46128,0.143279,0.10966,0.114166,0.0360725,0.0606212,0.232208,0.300182,0.322522,0.0895262,0.269284,1.13962,0.65786,0.0197135,0.116267,0.139565,0.27927
HNF1A,0.0160139,0.0461864,0.0750026,0.0303547,0.0571312,0.0271136,0.088269,0.0431342,0.059146,0.0178921,0.107406,0.0666987,0.087516,0.0503919,0.062435,0.014083,0.0352389,0.00712652,0.0479697,0.163255,0.0759661,0.00323025,0.0743801,0.100585,0.0961195,0.0381453,0.201212,0.0972461,0.0878633,0.0781685,0.123404,0.0420712,0.0726644,0.0385704,0.0892835,0.0620578,0.0411443,0.0808872,0.114434,0.0485723
TP53,7.13097,4.24943,11.4478,6.61086,14.4099,9.2275,10.1015,6.0583,1.80789,2.34077,11.3906,7.81212,1.58818,2.49172,3.83705,4.78039,3.90488,4.36248,5.18481,7.34883,6.80245,4.05757,15.8081,12.1579,6.76584,4.58206,11.1844,17.4282,7.714,5.76971,1.96074,1.99584,2.95471,1.35893,6.72114,5.17713,5.53432,5.70388,5.68313,3.51791
