To	From	Weight
LY86	GBP4	0.104698101741589
LY9	GBP4	0.126266027739921
LY96	GBP4	0.0887975728238317
LYZ	GBP4	0.109110749210464
MAN1A1	GBP4	0.0826520280911888
MAN2A1	GBP4	0.0192976656542539
MAP3K8	GBP4	0.0471535736790762
MARCHF1	GBP4	0.102602057517121
MARCKS	GBP4	0.0477390172465227
MATCAP2	GBP4	0.0493177765989218
MCEMP1	GBP4	0.0329780015206222
MCM2	GBP4	0.0773080247875246
MCM4	GBP4	0.088030711933979
MCM5	GBP4	0.0340161773014736
MCM7	GBP4	0.0525107586919414
MCTP1	GBP4	0.055325978827308
MDFIC	GBP4	0
MEF2A	GBP4	0.0473267047725513
MEF2C	GBP4	0.105421650192901
MFSD1	GBP4	0.0441346680264212
MIB2	GBP4	0.0295782182646883
MIR1292	GBP4	0.0260412469557967
MIR6891	GBP4	0
MLKL	GBP4	0.0701317054384414
MNDA	GBP4	0.0774659003636684
MPEG1	GBP4	0.139941483392653
MRC1	GBP4	0.106160328633752
MS4A1	GBP4	0.0780546050432356
MS4A4A	GBP4	0.124011535207265
MS4A4E	GBP4	0.131667934155685
MS4A6A	GBP4	0.125206991827239
MS4A7	GBP4	0.134797047055286
MSR1	GBP4	0.0822150367405721
MX1	GBP4	0.0411668220068682
MX2	GBP4	0.0260248219284657
MZT2A	GBP4	0.0288488069475208
MZT2B	GBP4	0.0287243088728796
NABP1	GBP4	0.0494234628915155
NAIP	GBP4	0.0816013485929761
NAPSB	GBP4	0.102530430281661
NCF2	GBP4	0.0907460537594572
NCF4	GBP4	0.112680069311067
NCKAP1L	GBP4	0.132876189459191
NCR1	GBP4	0.0493433836984661
NFAM1	GBP4	0.104350316085544
NKG7	GBP4	0.116444562453391
NLRC3	GBP4	0.129315694015682
NLRC4	GBP4	0.0858060891811324
NOC2L	GBP4	0.0582903408136109
NONO	GBP4	0
NPL	GBP4	0.0788805724970057
NSUN5	GBP4	0.0480934532426821
OAS1	GBP4	0.0481042599819739
OAS2	GBP4	0.0527015770114487
OAS3	GBP4	0.0510622063398514
OASL	GBP4	0.0310932840746788
OGFRL1	GBP4	0.0567432839821957
OLR1	GBP4	0.0262263615367459
OR2I1P	GBP4	0.0884264931169731
OSTF1	GBP4	0.0608371769623179
OVOL3	GBP4	0.0406649932665914
P2RX7	GBP4	0.0752880763248906
P2RY10	GBP4	0.131939302102202
P2RY12	GBP4	0.0573583337849365
P2RY13	GBP4	0.114273210731554
P2RY8	GBP4	0.138097494626018
PAM16	GBP4	0.0496474071468894
PANK4	GBP4	0.0477152465708228
PARP14	GBP4	0.0100600809256448
PARP15	GBP4	0.109453183102991
PARP9	GBP4	0.0195601300855301
PATL2	GBP4	0.0868308024514763
PAXX	GBP4	0.0409478125894237
PDCD1LG2	GBP4	0.0631107375122973
PDE4B	GBP4	0.0979952304681322
PECAM1	GBP4	0.128259797690933
PELATON	GBP4	0.0363118298534799
PHF11	GBP4	0.0310617546209308
PHGDH	GBP4	0.0322381119608346
PICALM	GBP4	0.0288837773656923
PIK3AP1	GBP4	0.0589748085610245
PIK3CG	GBP4	0.137437416059619
PIK3R5	GBP4	0.124437293958353
PIP4K2A	GBP4	0.0977685738066582
PKN3	GBP4	0.0254523452414768
PLA2G2D	GBP4	0.10985442271483
PLAAT4	GBP4	0.0669161901922584
PLAC8	GBP4	0.0710701870701941
PLEK	GBP4	0.125764813970893
PLXDC2	GBP4	0.0522994847653782
PLXNC1	GBP4	0.0898083190458563
POLD1	GBP4	0.0575538667980615
POLD2	GBP4	0
POP7	GBP4	0.0408379776755823
PPP1R16B	GBP4	0.101873085152042
PRDM1	GBP4	0.0632225324045146
PRF1	GBP4	0.1333394929378
PRKCB	GBP4	0.107018611259213
PRR33	GBP4	0.117215374330114
PSMB8	GBP4	0
PSMB8-AS1	GBP4	0
PSMB9	GBP4	0.0595518246629107
PTGDR	GBP4	0.120586085117994
PTGER3	GBP4	0.0699331887594129
PTPN22	GBP4	0.100226274134676
PTPN7	GBP4	0.134382277029674
PTPRC	GBP4	0.125651717534105
PTPRE	GBP4	0.0770642420294204
PUSL1	GBP4	0
PYDC5	GBP4	0.0719142577374504
PYHIN1	GBP4	0.0999553650251866
RAB27A	GBP4	0.0693764905613303
RAB37	GBP4	0.103056980693738
RAC2	GBP4	0.0624429353191974
RALY	GBP4	0
RASGRP3	GBP4	0.0951457947545853
RASSF5	GBP4	0.0982646889140421
RB1	GBP4	0.0110755299642291
RBM10	GBP4	0.0491928469088834
RBM43	GBP4	0.0687005032615077
RBPJ	GBP4	0
RCSD1	GBP4	0.142815094744359
RGS1	GBP4	0.0922028513146561
RGS18	GBP4	0.116531210978608
RHOH	GBP4	0.131763961670017
RIPK3	GBP4	0.0728106132908695
RIPOR2	GBP4	0.0939870243627241
RNASE2	GBP4	0.0192711522067291
RNASE6	GBP4	0.131137839318064
RSAD2	GBP4	0.0341758954788754
RTN4R	GBP4	0.0361301998710039
RUBCNL	GBP4	0.0572222418292408
RUVBL2	GBP4	0.0638496042119196
S100B	GBP4	0.0454708066797062
SAC3D1	GBP4	0
SAMD3	GBP4	0.0800283926703036
SAMD9L	GBP4	0.0653691321240874
SAMHD1	GBP4	0.109089088964721
SAMSN1	GBP4	0.11028935074369
SASH3	GBP4	0.135523959680824
SCIMP	GBP4	0.113860910607226
SCML4	GBP4	0.143067810268459
SDCBP	GBP4	0.0411386448616512
SELL	GBP4	0.110730146643269
SELPLG	GBP4	0.0929874519181877
SERPINA1	GBP4	0.00997440812815949
SERPINB8	GBP4	0.00582562621698177
SERPINB9	GBP4	0.075414461575418
SESN1	GBP4	0.100808273265421
SFMBT2	GBP4	0.105766198741285
SH2D1A	GBP4	0.157238856071618
SH3BGRL	GBP4	0.0762111240802586
SHE	GBP4	0.113663007750578
SIGLEC1	GBP4	0.0964676343568547
SIGLEC14	GBP4	0.0649993323119558
SIGLEC5	GBP4	0.0708029361458549
SIGLEC7	GBP4	0.0632668779293769
SIGLEC8	GBP4	0.0589268394651824
SIGLEC9	GBP4	0.0689992601672959
SIRPB2	GBP4	0.120422759662238
SIRPD	GBP4	0.0789145237270242
SIRPG	GBP4	0.0913915817259415
SIT1	GBP4	0.11267818570376
SLA	GBP4	0.144114558572714
SLAMF1	GBP4	0.132247094244654
SLAMF6	GBP4	0.157801253670605
SLAMF7	GBP4	0.123011794084605
SLAMF8	GBP4	0.101799236038443
SLC16A7	GBP4	0
SLC2A5	GBP4	0.0180202501524197
SLC2A9	GBP4	0.0446812092646586
SLC37A2	GBP4	0.0871586777539036
SLC7A7	GBP4	0.0572075124802704
SLC9A9	GBP4	0.133362464925505
SLCO2B1	GBP4	0.112027721998238
SLFN12L	GBP4	0.156557711558552
SLFN14	GBP4	0.0823205655458149
SLX9	GBP4	0.0472813221443478
SMAP2	GBP4	0.122062592357735
SMPD4	GBP4	0.0554646092589603
SNAP47	GBP4	0.00900049206434594
SNRPA	GBP4	0
SNX20	GBP4	0.148764393850831
SP100	GBP4	0.0459848461641637
SP140	GBP4	0.126376429528125
SPIC	GBP4	0.0611562910337146
SPINDOC	GBP4	0
