Gene	Post	Pre	Post_Pre	Label	Funct_Annot
BCL2A1	0.0605785696519995	0.125832279477106	-0.0652537098251067	None	None
BIN2	0.122877523540219	0.148770314642329	-0.0258927911021108	None	None
BMP2K	0.0187369926348935	0.104342573323308	-0.0856055806884148	Pre_Only	None
BTK	0.108987780814467	0.146826081940786	-0.037838301126319	None	None
BTN3A1	0	0.13089077721906	0	Pre_Only	T/NK Activation
BTN3A3	0.0873840429285448	0.136441083008854	-0.0490570400803089	None	None
C16orf54	0.125596179124489	0	0	Post_Only	Immuno-hot tumor marker
C1QA	0.103526296936754	0.109090001886198	-0.00556370494944457	None	None
C1QB	0.0952133443652802	0.108113981131877	-0.0129006367665972	None	None
C1S	0.0771655181566393	0.125395198763314	-0.0482296806066749	None	None
C1orf159	0.0542372498615233	0.10663643288553	-0.0523991830240067	None	None
C1orf162	0.086302255154702	0.130679932265174	-0.0443776771104717	None	None
C1orf35	0.0424646736398845	0.127185508742344	-0.0847208351024595	Pre_Only	None
C2	0.0565530891131713	0.106236979043162	-0.0496838899299908	None	None
C3AR1	0.10737168331673	0.165976358946935	-0.0586046756302048	None	Innate IFN Response
C5orf58	0.0548194481505696	0.102734843396307	-0.0479153952457373	None	None
CALCRL	0.11280224807287	0.0998373864505552	0.0129648616223146	None	None
CALHM6	0.0882430023109581	0.14770703830054	-0.0594640359895819	None	None
CALHM6-AS1	0.0865478988088526	0.116868644224547	-0.0303207454156944	None	None
CARD16	0.072942159683705	0.122118163341424	-0.0491760036577192	None	None
CARD6	0.0527379173500401	0.112214635285579	-0.0594767179355387	None	None
CARD8	0.113558846904057	0.10373885060401	0.00981999630004668	None	None
CASP1	0.0963941177926211	0.165268410708396	-0.0688742929157748	None	Apoptosis
CASP4	0.0284500660336488	0.107687413097752	-0.0792373470641028	None	Apoptosis
CASP5	0	0.127522161957096	0	Pre_Only	Apoptosis
CBX8	0.0511782728757584	0.116478505294714	-0.0653002324189554	None	None
CCHCR1	0.0379112103813345	0.105127703117458	-0.0672164927361239	None	None
CCL3	0.0801267496010054	0.113589109030803	-0.0334623594297981	None	None
CCL4	0.0916608346565498	0.13433500926601	-0.0426741746094604	None	None
CCL4L2	0.0673029935616374	0.118856555855459	-0.0515535622938218	None	None
CCL5	0.144533408265032	0.138327226508487	0.00620618175654544	Shared	Immune Cell Infiltration
CCL8	0.06100630927343	0.135584197276793	-0.0745778880033628	None	None
CCR1	0.10689676719242	0.130628232950914	-0.0237314657584936	None	None
CCR2	0.146485123864662	0.165618354352887	-0.019133230488225	Shared	Immune Cell Infiltration
CCR3	0.0503124364757103	0.119488393386096	-0.0691759569103856	None	None
CCR4	0.121126783310461	0.128299019673746	-0.00717223636328472	Shared	Immune Cell Infiltration
CCR5	0.143133316046198	0.168309705964824	-0.0251763899186267	None	Immune Cell Infiltration
CCR6	0.0892439823674992	0.121283136472618	-0.0320391541051189	None	None
CCR8	0.0210153189601704	0.105060905972809	-0.0840455870126385	Pre_Only	None
CCRL2	0.0903691798679064	0.147819938215923	-0.0574507583480167	None	None
CD163	0.0929729397801092	0.142773188676195	-0.0498002488960861	None	None
CD180	0.0864778770773218	0.138481535404819	-0.0520036583274971	None	None
CD2	0.117306608629052	0.146863012210928	-0.029556403581876	None	None
CD209	0.10306528171079	0.09839710118177	0.00466818052901966	None	None
CD226	0.113558846665904	0.125346691621501	-0.0117878449555975	Shared	None
CD244	0.101635232015795	0.127678136737514	-0.0260429047217193	None	None
CD247	0.131627707475809	0.129435528801652	0.00219217867415702	Shared	NK/T Receptor Signaling
CD274	0.0505756565384418	0.131999924849739	-0.0814242683112972	Pre_Only	Immune Checkpoint
CD28	0.114303057231921	0.127161770921486	-0.0128587136895658	Shared	NK/T Receptor Signaling
CD300A	0.106145437935961	0.123553840730561	-0.0174084027945998	None	None
CD300C	0.100851742984702	0.10820112870895	-0.00734938572424795	None	None
CD300E	0.069172847177196	0.11848107529446	-0.0493082281172642	None	None
CD300LF	0.0718074334350302	0.118955121660921	-0.0471476882258913	None	None
CD33	0.114242438922125	0.128854681477249	-0.0146122425551242	Shared	None
CD36	0.0918223783491355	0.107122784550095	-0.0153004062009595	None	None
CD38	0.080308069278918	0.149683730374178	-0.0693756610952599	None	None
CD3D	0.136650455012322	0.136376056205216	0.000274398807105558	Shared	NK/T Receptor Signaling
CD3E	0.0934288198261419	0.100928524463503	-0.00749970463736105	None	None
CD3G	0.138425929298986	0.155675478934659	-0.0172495496356725	Shared	NK/T Receptor Signaling
CD4	0.108856869541075	0.13572285692146	-0.0268659873803852	None	None
CD40	0.0768033224441359	0.100954359151474	-0.0241510367073377	None	None
CD44	0.0153359242927038	0.11896230054661	-0.103626376253906	Pre_Only	None
CD44-AS1	0.00432807220490763	0.113752831629767	-0.109424759424859	Pre_Only	None
CD48	0.138463679259743	0.162915424025255	-0.024451744765512	None	T/NK Activation
CD52	0.114885445272835	0.138641504051025	-0.0237560587781902	None	None
CD53	0.135383657474693	0.176122319617398	-0.0407386621427057	None	T/NK Activation
CD69	0.0865040884701827	0.128780582072591	-0.0422764936024081	None	None
CD80	0.0726816694293568	0.136005024178462	-0.0633233547491048	None	None
CD84	0.124576737586531	0.157314186795042	-0.0327374492085118	None	None
CD86	0.119194536530227	0.16798087857547	-0.0487863420452421	None	T/NK Activation
CD8A	0.131790878253122	0.106285541041001	0.0255053372121211	None	None
CD8B	0.114777259634962	0.0675940750493147	0.0471831845856469	Post_Only	NK/T Receptor Signaling
