To	From	Weight
MS4A6A	GBP4	0.159610321859288
MS4A7	GBP4	0.151120941462484
MSR1	GBP4	0.130156556345303
MX1	GBP4	0.13702500351012
MX2	GBP4	0.102082247940397
MZT2A	GBP4	0.102668736832827
MZT2B	GBP4	0.111598360211613
NABP1	GBP4	0.108226928583634
NAIP	GBP4	0.107425992265841
NAPSB	GBP4	0
NCF2	GBP4	0.123604730573822
NCF4	GBP4	0.116802379925275
NCKAP1L	GBP4	0.162288936239475
NCR1	GBP4	0.116821731334241
NFAM1	GBP4	0.084728213474043
NKG7	GBP4	0.103529673367901
NLRC3	GBP4	0.11122680320957
NLRC4	GBP4	0.113013360607174
NOC2L	GBP4	0.119934242076435
NONO	GBP4	0.100035957143262
NPL	GBP4	0.132994004920847
NSUN5	GBP4	0.12051878136529
OAS1	GBP4	0.149382236412898
OAS2	GBP4	0.152770127161951
OAS3	GBP4	0.132963406862376
OASL	GBP4	0.139957009067203
OGFRL1	GBP4	0.115463654651604
OLR1	GBP4	0.131241628912364
OR2I1P	GBP4	0.125909453059034
OSTF1	GBP4	0.100468741254903
OVOL3	GBP4	0.105216467399359
P2RX7	GBP4	0.129560217080411
P2RY10	GBP4	0.150688252631385
P2RY12	GBP4	0.102019640183095
P2RY13	GBP4	0.122331053852753
P2RY8	GBP4	0.121767063410359
PAM16	GBP4	0.100384325932213
PANK4	GBP4	0.118964790977575
PARP14	GBP4	0.108847660702377
PARP15	GBP4	0.135466090641516
PARP9	GBP4	0.112854413828242
PATL2	GBP4	0.11623263209501
PAXX	GBP4	0.100908586514493
PDCD1LG2	GBP4	0.176611287274499
PDE4B	GBP4	0.118108021657812
PECAM1	GBP4	0.147531912639465
PELATON	GBP4	0.115798493516744
PHF11	GBP4	0.105524018839272
PHGDH	GBP4	0.103332731104429
PICALM	GBP4	0.104972795570276
PIK3AP1	GBP4	0.113646059921566
PIK3CG	GBP4	0.177439455662499
PIK3R5	GBP4	0.117536715569495
PIP4K2A	GBP4	0.10146385232779
PKN3	GBP4	0.112924289625891
PLA2G2D	GBP4	0.103255849014945
PLAAT4	GBP4	0.104369038703291
PLAC8	GBP4	0.135101279745796
PLEK	GBP4	0.160079241799011
PLXDC2	GBP4	0.142245586015969
PLXNC1	GBP4	0.10753247225424
POLD1	GBP4	0.131409780008081
POLD2	GBP4	0.123695321188485
POP7	GBP4	0.112137374615475
PPP1R16B	GBP4	0.0918241166970082
PRDM1	GBP4	0.115004890866478
PRF1	GBP4	0.112803493431328
PRKCB	GBP4	0.138717748552808
PRR33	GBP4	0.0605328344427535
PSMB8	GBP4	0.122266498381293
PSMB8-AS1	GBP4	0.112466498613271
PSMB9	GBP4	0.141877667783239
PTGDR	GBP4	0.115375158160917
PTGER3	GBP4	0.114952469823466
PTPN22	GBP4	0.165176948096965
PTPN7	GBP4	0.101406392629448
PTPRC	GBP4	0.174055344672914
PTPRE	GBP4	0.108525652859033
PUSL1	GBP4	0.103754612556949
PYDC5	GBP4	0.120848052446391
PYHIN1	GBP4	0.130268288831485
RAB27A	GBP4	0.111107644239135
RAB37	GBP4	0.0805730911187308
RAC2	GBP4	0.129437928881097
RALY	GBP4	0.104032228994197
RASGRP3	GBP4	0.114518655838333
RASSF5	GBP4	0.110163756623185
RB1	GBP4	0.10897602862731
RBM10	GBP4	0.10745339349516
RBM43	GBP4	0.106238500587107
RBPJ	GBP4	0.120830602112198
RCSD1	GBP4	0.14920495272942
RGS1	GBP4	0.117716312363414
RGS18	GBP4	0.154113208113956
RHOH	GBP4	0.123151434733717
RIPK3	GBP4	0.104848941777048
RIPOR2	GBP4	0.120996521091682
RNASE2	GBP4	0.115115694091361
RNASE6	GBP4	0.159201230187573
RSAD2	GBP4	0.115743752757709
RTN4R	GBP4	0.121262878276636
RUBCNL	GBP4	0.105425745031989
RUVBL2	GBP4	0.101986464905628
S100B	GBP4	0.103521672972847
SAC3D1	GBP4	0.119011006450617
SAMD3	GBP4	0.130461630631177
SAMD9L	GBP4	0.125675699696022
SAMHD1	GBP4	0.137443580781577
SAMSN1	GBP4	0.163169804903788
SASH3	GBP4	0.148066126472965
SCIMP	GBP4	0.116447272443873
SCML4	GBP4	0.119885433805682
SDCBP	GBP4	0.10011940377173
SELL	GBP4	0.132692415013348
SELPLG	GBP4	0.107548199297958
SERPINA1	GBP4	0.109107196252071
SERPINB8	GBP4	0.106023549665742
SERPINB9	GBP4	0.141600461054707
SESN1	GBP4	0.0649971307517089
SFMBT2	GBP4	0.0938757987331569
SH2D1A	GBP4	0.159349857792
SH3BGRL	GBP4	0.107650785468344
SHE	GBP4	0.0478153785093648
SIGLEC1	GBP4	0.102264023750894
SIGLEC14	GBP4	0.126534462720083
SIGLEC5	GBP4	0.114601109405917
SIGLEC7	GBP4	0.116875944747781
SIGLEC8	GBP4	0.111564125625535
SIGLEC9	GBP4	0.110414398538043
SIRPB2	GBP4	0.143160357320112
SIRPD	GBP4	0.12028920697716
SIRPG	GBP4	0.137314130255607
SIT1	GBP4	0.0914096513330532
SLA	GBP4	0.170743204387718
SLAMF1	GBP4	0.142987547137187
SLAMF6	GBP4	0.173435459543795
SLAMF7	GBP4	0.14892052568872
SLAMF8	GBP4	0.125055133412296
SLC16A7	GBP4	0.114370989146448
SLC2A5	GBP4	0.122062900154232
SLC2A9	GBP4	0.10665947303532
SLC37A2	GBP4	0.113474958141403
SLC7A7	GBP4	0.121793514052029
SLC9A9	GBP4	0.145778687732142
SLCO2B1	GBP4	0.125562479492644
SLFN12L	GBP4	0.154178984000761
SLFN14	GBP4	0.101584674279924
SLX9	GBP4	0.1008777242613
SMAP2	GBP4	0.0992528788419738
SMPD4	GBP4	0.103672945094203
SNAP47	GBP4	0.100985919085319
SNRPA	GBP4	0.126327400522784
SNX20	GBP4	0.157111245471127
SP100	GBP4	0.115923641156446
SP140	GBP4	0.155759127242835
SPIC	GBP4	0.126538733590352
SPINDOC	GBP4	0.106879416914212
SPN	GBP4	0.0825500083130268
SPP1	GBP4	0.107865869107301
SPRED1	GBP4	0.108668040870863
SQOR	GBP4	0.106631811188885
SRGN	GBP4	0.137888688496091
ST18	GBP4	0.105118081840308
ST8SIA1	GBP4	0.104544975523539
ST8SIA4	GBP4	0.118938717836941
STAM2	GBP4	0.120613254717334
STAP1	GBP4	0.126298383726468
STARD5	GBP4	0.120450302666879
STAT1	GBP4	0.143112564898657
STAT2	GBP4	0.108730607821436
STEAP4	GBP4	0.111116914322959
STK17B	GBP4	0.10943424885627
STOM	GBP4	0.136909032494854
STX11	GBP4	0.10693148180274
TAGAP	GBP4	0.133550822378739
TAGAP-AS1	GBP4	0.108564446070981
TAP1	GBP4	0.105499708774237
TAP2	GBP4	0.101896191521831
TASL	GBP4	0.159032294028574
TBX21	GBP4	0.086996226202781
TCF4	GBP4	0.102199979378576
TENT5A	GBP4	0.111491798670662
TENT5C	GBP4	0.113194523531919
TESPA1	GBP4	0.114859022205483
TFEC	GBP4	0.170567029089329
TGFBR2	GBP4	0.113347758011594
THEMIS	GBP4	0.154745835256472
THOP1	GBP4	0.109750693843235
TIFAB	GBP4	0.123877735694974
TIGIT	GBP4	0.15758504483449
TLR1	GBP4	0.169304048490959
TLR10	GBP4	0.138241408192446
TLR2	GBP4	0.181789358144974
